"sku";"razdel";"new_category";"tags";"name";"old_category"
"9181";"Бильярд";"Аксессуары";"перчатки; безразмерная";"Перчатка для бильярда Partner Billiards левая безразмерная черная";"Бильярд > Аксессуары > Перчатки"
"9554";"Бильярд";"Аксессуары";"перчатки; безразмерная";"Перчатка для бильярда Standard левая/правая безразмерная темно-синяя";"Бильярд > Аксессуары > Перчатки"
"9147";"Бильярд";"Аксессуары";"перчатки; безразмерная";"Перчатка для бильярда Standard левая/правая безразмерная черная";"Бильярд > Аксессуары > Перчатки"
"10896";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер M/L темно-синяя на резинке";"Бильярд > Аксессуары > Перчатки"
"10899";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер M/L черная на резинке";"Бильярд > Аксессуары > Перчатки"
"10897";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер S темно-синяя на резинке";"Бильярд > Аксессуары > Перчатки"
"2427";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер S черная на резинке";"Бильярд > Аксессуары > Перчатки"
"10898";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер XL темно-синяя на резинке";"Бильярд > Аксессуары > Перчатки"
"10900";"Бильярд";"Аксессуары";"перчатки; на резинке";"Перчатка для бильярда левая / правая Classic размер XL черная на резинке";"Бильярд > Аксессуары > Перчатки"
"10905";"Бильярд";"Аксессуары";"перчатки";"Перчатка для бильярда левая / правая Pro Short размер M/L черная";"Бильярд > Аксессуары > Перчатки"
"10906";"Бильярд";"Аксессуары";"перчатки";"Перчатка для бильярда левая / правая Pro Short размер S черная";"Бильярд > Аксессуары > Перчатки"
"10699";"Бильярд";"Аксессуары";"перчатки";"Перчатка для бильярда левая / правая Pro Short размер XL черная";"Бильярд > Аксессуары > Перчатки"
"10901";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер M/L темно-синяя на липучке";"Бильярд > Аксессуары > Перчатки"
"10902";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер M/L черная на липучке";"Бильярд > Аксессуары > Перчатки"
"9542";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер S темно-синяя на липучке";"Бильярд > Аксессуары > Перчатки"
"2429";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер S черная на липучке";"Бильярд > Аксессуары > Перчатки"
"10698";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер XL темно-синяя на липучке";"Бильярд > Аксессуары > Перчатки"
"10903";"Бильярд";"Аксессуары";"перчатки; на липучке";"Перчатка для бильярда левая Classic Velcro размер XL черная на липучке";"Бильярд > Аксессуары > Перчатки"
"9536-15";"Бильярд";"Аксессуары";"мел; Tweeten";"Мел для бильярда 15шт Tweeten Triangle синий";"Бильярд > Аксессуары для киев > Мел"
"9536-4";"Бильярд";"Аксессуары";"мел; Tweeten";"Мел для бильярда 4шт Tweeten Triangle синий";"Бильярд > Аксессуары для киев > Мел"
"4381";"Бильярд";"Аксессуары";"мел; Tweeten";"Мел для бильярда Tweeten Triangle 72 штуки синий";"Бильярд > Аксессуары для киев > Мел"
"16370";"Бильярд";"Аксессуары";"наклейки; Porter";"Инструмент для обработки бильярдной наклейки / держатель для мела Porter";"Бильярд > Аксессуары для киев > Наклейки"
"16386";"Бильярд";"Аксессуары";"наклейки; Porter";"Инструмент для обработки бильярдной наклейки Porter Tip Sander";"Бильярд > Аксессуары для киев > Наклейки"
"13142-10";"Бильярд";"Аксессуары";"наклейки; Porter";"Колпачки с наклейкой для кия Porter Push-On-Tip 12мм 10 шт";"Бильярд > Аксессуары для киев > Наклейки"
"9218";"Бильярд";"Аксессуары";"наклейки; Porter";"Колпачки с наклейкой для кия Porter Push-On-Tip 12мм 100 шт";"Бильярд > Аксессуары для киев > Наклейки"
"13143-10";"Бильярд";"Аксессуары";"наклейки; Porter";"Колпачки с наклейкой для кия Porter Push-On-Tip 13мм 10 шт";"Бильярд > Аксессуары для киев > Наклейки"
"9090";"Бильярд";"Аксессуары";"наклейки; Porter";"Колпачки с наклейкой для кия Porter Push-On-Tip 13мм 100 шт";"Бильярд > Аксессуары для киев > Наклейки"
"9536-4-16370";"Бильярд";"Аксессуары";"мел; Tweeten; Porter";"Набор из 4-х мелков для бильярда Tweeten Triangle и держателя мела / инструмента для обработки наклейки Porter";"Бильярд > Аксессуары для киев > Наклейки"
"9536-4-16386";"Бильярд";"Аксессуары";"мел; Tweeten";"Набор из 4-х мелков для бильярда Tweeten Triangle и инструмента для обработки наклейки бильярдного кия";"Бильярд > Аксессуары для киев > Наклейки"
"9536-4-2460-16370";"Бильярд";"Аксессуары";"мел; Tweeten";"Набор из 4-х мелков для бильярда Tweeten Triangle, муфты для чистки кия и инструмента для обработки наклейки / держателя мела";"Бильярд > Аксессуары для киев > Наклейки"
"9536-4-2460-2310-16386";"Бильярд";"Аксессуары";"мел";"Набор из 4-х мелков для бильярда, муфты для чистки и полировки бильярдного кия, держателя мела и инструмента для обработки наклейки";"Бильярд > Аксессуары для киев > Наклейки"
"2460-16386";"Бильярд";"Аксессуары";"наклейки";"Набор из аксессуара (муфты) для чистки и полировки бильярдного кия и инструмента для обработки наклейки";"Бильярд > Аксессуары для киев > Наклейки"
"3359-10";"Бильярд";"Аксессуары";"наклейки; Tweeten";"Наклейки для кия 12,5 мм 10 штук Tweeten Triangle Super Hard";"Бильярд > Аксессуары для киев > Наклейки"
"3359-25";"Бильярд";"Аксессуары";"наклейки; Tweeten";"Наклейки для кия 12,5 мм 25 штук Tweeten Triangle Super Hard";"Бильярд > Аксессуары для киев > Наклейки"
"3361-10";"Бильярд";"Аксессуары";"наклейки; Tweeten";"Наклейки для кия 13 мм 10 штук Tweeten Le Professionel Hard";"Бильярд > Аксессуары для киев > Наклейки"
